Token,Frequency,Synonyms
show,36,"['show', 'prove', 'show_up', 'establish', 'designate', 'appearance', 'render', 'demonstrate', 'picture', 'record', 'point', 'testify', 'register', 'exhibit', 'shew', 'present', 'evidence', 'indicate', 'display', 'read', 'usher', 'express', 'depict', 'bear_witness', 'demo', 'evince']"
anyone,36,"['anyone', 'random', 'someone']"
teenchoice,36,['teenchoice']
choicefandom,36,['choicefandom']
police,35,"['police', 'police_force', 'law', 'patrol', 'constabulary']"
senate,35,"['senate', 'United_States_Senate', 'Senate', 'U.S._Senate', 'US_Senate']"
told,35,"['told', 'secern', 'separate', 'distinguish', 'tell', 'evidence', 'assure', 'recount', 'differentiate', 'severalise', 'recite', 'say', 'secernate', 'enjoin', 'severalize', 'state', 'narrate', 'tell_apart', 'order']"
much,35,"['much', 'a_good_deal', 'very_much', 'often', 'a_lot', 'a_great_deal', 'practically', 'lots']"
senator,35,['senator']
voting,34,"['voting', 'ballot', 'balloting', 'vote']"
friend,33,"['friend', 'Quaker', 'booster', 'champion', 'protagonist', 'admirer', 'acquaintance', 'supporter', 'Friend', 'ally']"
name,33,"['name', 'appoint', 'mention', 'describe', 'distinguish', 'diagnose', 'refer', 'advert', 'public_figure', 'identify', 'epithet', 'figure', 'discover', 'bring_up', 'list', 'key', 'gens', 'call', 'cite', 'constitute', 'key_out', 'nominate', 'make']"
death,33,"['death', 'end', 'expiry', 'demise', 'last', 'Death', 'destruction', 'decease', 'dying']"
done,33,"['done', 'coiffure', 'behave', 'perform', 'make', 'fare', 'answer', 'arrange', 'cause', 'execute', 'practice', 'act', 'do', 'coiffe', 'make_out', 'come', 'set', 'get_along', 'coif', 'serve', 'suffice', 'manage', 'practise', 'dress', 'through_with', 'exercise', 'through']"
feel,33,"['feel', 'palpate', 'flavour', 'feeling', 'tactile_property', 'sense', 'experience', 'find', 'flavor', 'look', 'spirit', 'smell', 'tone', 'finger']"
laurenboebert,33,['laurenboebert']
guard,32,"['guard', 'sentry_duty', 'safety_device', 'sentry_go', 'safety', 'safeguard', 'hold', 'defend', 'ward', 'guard_duty', 'precaution']"
thanks,32,"['thanks', 'give_thanks', 'thank']"
also,32,"['also', 'as_well', 'too', 'likewise', 'besides']"
fuck,32,"['fuck', 'benevolent', 'hilary', 'senate', 'have_sex', 'have_it_off', 'femin', 'have_a_go_at_it', 'history', 'fucking', 'hostile', 'girl', 'have_it_away', 'catherine', 'deb', 'revolution', 'nookie', 'ass', 'bonk', 'congress', 'bang', 'right', 'screw', 'cortez', 'piece_of_ass', 'rachel', 'nooky', 'do_it', 'screwing', 'leader', 'have_intercourse', 'harris', 'make_love', 'sleep_with', 'power', 'make_out', 'know', 'sex', 'sexism', 'levine', 'misandry', 'get_it_on', 'kamala', 'be_intimate', 'shag', 'shtup', 'love', 'empower', 'get_laid', 'clinton', 'piece_of_tail', 'equal', 'hump', 'halaand', 'elizabeth', 'misogyny', 'feminist', 'sleep_together', 'bed', 'victim', 'women', 'roll_in_the_hay', 'inferiority', 'eff', 'lie_with', 'jazz', 'gender', 'patriarchy']"
someone,31,"['someone', 'soul', 'somebody', 'mortal', 'person', 'individual']"
best,31,"['best', 'salutary', 'sound', 'respectable', 'outdo', 'C._H._Best', 'advantageously', 'safe', 'expert', 'scoop', 'upright', 'secure', 'topper', 'outflank', 'well', 'intimately', 'dear', 'better', 'undecomposed', 'skillful', 'full', 'substantially', 'estimable', 'proficient', 'honest', 'skilful', 'in_effect', 'practiced', 'unspoiled', 'serious', 'good', 'considerably', 'in_force', 'Best', 'honorable', 'adept', 'beneficial', 'trump', 'effective', 'ripe', 'easily', 'just', 'near', 'Charles_Herbert_Best', 'dependable', 'unspoilt', 'right', 'comfortably']"
find,31,"['find', 'find_out', 'observe', 'obtain', 'see', 'recover', 'bump', 'come_up', 'detect', 'determine', 'ascertain', 'receive', 'witness', 'find_oneself', 'discovery', 'encounter', 'get', 'chance', 'retrieve', 'feel', 'line_up', 'uncovering', 'breakthrough', 'happen', 'incur', 'regain', 'discover', 'notice', 'rule', 'get_hold']"
mean,31,"['mean', 'meanspirited', 'average', 'imply', 'entail', 'tight', 'have_in_mind', 'intend', 'stand_for', 'base', 'think_of', 'beggarly', 'hateful', 'think', 'mean_value', 'bastardly', 'mingy', 'signify', 'miserly']"
month,31,"['month', 'calendar_month']"
hard,31,"['hard', 'surd', 'difficult', 'operose', 'severely', 'tough', 'concentrated', 'toilsome', 'grueling', 'intemperate', 'unvoiced', 'knockout', 'arduous', 'voiceless', 'punishing', 'laborious', 'heavily', 'intemperately', 'gruelling', 'severe', 'strong', 'backbreaking', 'firmly', 'heavy']"
real,31,"['real', 'material', 'existent', 'veridical', 'real_number', 'genuine', 'literal', 'tangible', 'substantial', 'very', 'rattling', 'really', 'actual']"
full,31,"['full', 'wide-cut', 'good', 'full_phase_of_the_moon', 'wide', 'to_the_full', 'full_moon', 'full-of-the-moon', 'wax', 'replete', 'broad', 'fully', 'total', 'entire']"
pelosi,31,['pelosi']
long,30,"['long', 'longsighted', 'retentive', 'farsighted', 'foresighted', 'hanker', 'foresightful', 'recollective', 'prospicient', 'tenacious', 'yearn', 'farseeing']"
press,30,"['press', 'printing_press', 'campaign', 'press_out', 'closet', 'entreat', 'urge_on', 'constrict', 'weigh', 'military_press', 'crusade', 'pressure', 'squeeze', 'insistence', 'iron', 'fight', 'jam', 'beseech', 'adjure', 'agitate', 'compress', 'crush', 'wardrobe', 'public_press', 'urge', 'pressing', 'conjure', 'contract', 'insistency', 'push', 'weightlift', 'imperativeness', 'compact', 'exhort', 'mechanical_press', 'bid', 'weight-lift', 'iron_out']"
executive,30,"['executive', 'administrator', 'executive_director']"
sure,30,"['sure', 'sure_enough', 'for_certain', 'sure_as_shooting', 'indisputable', 'surely', 'certainly', 'trusted', 'certain', 'for_sure']"
youtube,30,"['youtube', 'videos', 'social', 'social_media']"
night,30,"['night', 'nighttime', 'Nox', 'Night', 'dark']"
saying,30,"['saying', 'sound_out', 'allege', 'articulate', 'read', 'enjoin', 'state', 'suppose', 'expression', 'tell', 'locution', 'aver', 'say', 'order', 'enunciate', 'enounce', 'pronounce']"
cybersecurity,30,"['cybersecurity', 'security', 'digital_world']"
leader,29,"['leader', 'drawing_card', 'loss_leader']"
voter,29,"['voter', 'elector']"
person,29,"['person', 'mortal', 'somebody', 'individual', 'soul', 'someone']"
child,29,"['child', 'youngster', 'kid', 'baby', 'tiddler', 'nipper', 'shaver', 'nestling', 'tike', 'small_fry', 'tyke', 'fry', 'minor']"
unity,28,"['unity', 'one', 'single', 'oneness', '1', 'I', 'integrity', 'wholeness', 'ace']"
something,28,"['something', 'object', 'thing']"
next,28,"['next', 'adjacent', 'succeeding', 'side_by_side', 'following', 'future']"
stand,28,"['stand', 'suffer', 'stomach', 'put_up', 'outdoor_stage', 'rack', 'sales_booth', 'standstill', 'standpoint', 'bear', 'viewpoint', 'resist', 'pedestal', 'place_upright', 'bandstand', 'fend', 'endure', 'digest', 'tolerate', 'abide', 'stall', 'point_of_view', 'remain_firm', 'brook', 'stick_out', 'base', 'support', 'tie-up', 'stand_up']"
away,28,"['away', 'outside', 'aside', 'out', 'by', 'off', 'forth']"
congress,28,"['congress', 'U.S._Congress', 'sexual_intercourse', 'US_Congress', 'Congress', 'carnal_knowledge', 'sexual_congress', 'copulation', 'coitus', 'sexual_relation', 'sex_act', 'coition', 'relation', 'intercourse', 'United_States_Congress']"
coming,28,"['coming', 'descend', 'approaching', 'derive', 'sexual_climax', 'number', 'amount', 'fall', 'get', 'upcoming', 'approach', 'follow', 'come_up', 'orgasm', 'come_in', 'get_along', 'come', 'climax', 'forthcoming', 'total', 'add_up', 'do', 'arrive', 'advent', 'fare', 'make_out', 'occur', 'issue_forth', 'hail']"
antifa,28,['antifa']
administration,28,"['administration', 'presidential_term', 'governance', 'organisation', 'organization', 'judicature', 'giving_medication', 'government_activity', 'government', 'establishment', 'disposal', 'governing_body', 'presidency', 'governing', 'brass']"
member,28,"['member', 'extremity', 'penis', 'phallus', 'appendage', 'fellow_member']"
inauguration,28,"['inauguration', 'startup', 'inaugural']"
russia,28,"['russia', 'Russian_Soviet_Federated_Socialist_Republic', 'Soviet_Union', 'Russian_Federation', 'Union_of_Soviet_Socialist_Republics', 'Russia', 'Soviet_Russia', 'USSR']"
music,28,"['music', 'medicine', 'euphony']"
money,27,"['money', 'payment', 'pay', 'cash']"
made,27,"['made', 'make_up', 'form', 'create', 'stimulate', 'make_believe', 'work', 'draw', 'fix', 'cook', 'wee', 'pee', 'realise', 'piss', 'pretend', 'take_a_crap', 'construct', 'throw', 'arrive_at', 'reach', 'name', 'take_in', 'relieve_oneself', 'piddle', 'make_water', 'do', 'produce', 'pull_in', 'hit', 'pass_water', 'constitute', 'crap', 'earn', 'seduce', 'bring_in', 'establish', 'get_to', 'spend_a_penny', 'build', 'clear', 'nominate', 'cause', 'attain', 'progress_to', 'take_a_shit', 'urinate', 'take_a_leak', 'give', 'prepare', 'ca-ca', 'shit', 'gain', 'stool', 'take', 'ready', 'micturate', 'get', 'hold', 'puddle', 'make', 'have', 'defecate', 'realize', 'pee-pee', 'score', 'lay_down', 'wee-wee', 'induce']"
power,27,"['power', 'business_leader', 'office', 'mightiness', 'baron', 'might', 'world_power', 'magnate', 'superpower', 'tycoon', 'powerfulness', 'great_power', 'top_executive', 'major_power', 'ability', 'index', 'exponent', 'big_businessman', 'force', 'king', 'mogul']"
tell,27,"['tell', 'severalise', 'recite', 'assure', 'state', 'secernate', 'enjoin', 'secern', 'evidence', 'differentiate', 'recount', 'distinguish', 'tell_apart', 'narrate', 'severalize', 'separate', 'say', 'order', 'Tell', 'William_Tell']"
point,27,"['point', 'channelize', 'point_in_time', 'level', 'manoeuvre', 'spot', 'direct', 'detail', 'full_point', 'place', 'tip', 'head', 'steer', 'bespeak', 'dot', 'decimal_point', 'charge', 'percentage_point', 'show', 'distributor_point', 'aim', 'maneuver', 'guide', 'orient', 'peak', 'full_stop', 'stage', 'compass_point', 'pointedness', 'manoeuver', 'target', 'breaker_point', 'period', 'power_point', 'luff', 'sharpen', 'signal', 'taper', 'stop', 'channelise', 'gunpoint', 'degree', 'repoint', 'item', 'betoken', 'indicate', 'designate']"
bill,27,"['bill', 'beak', 'notice', 'broadside', 'broadsheet', 'throwaway\', ""banker\'s_bill"", \'account', 'invoice', 'government_note', 'circular', 'peak', 'visor', 'neb', 'eyeshade', 'posting', 'greenback', 'handbill', 'bank_note', 'measure', 'Federal_Reserve_note', 'billhook', 'flyer', 'note', 'poster', 'pecker', 'flier', 'banknote', 'bank_bill', 'charge', 'nib', 'vizor', 'card', 'placard']"
amazon,27,"['amazon', 'Amazon_River', 'virago', 'payments', 'retail', 'online', 'shop', 'Amazon']"
making,27,"['making', 'urinate', 'reach', 'constitute', 'piddle', 'realize', 'stimulate', 'stool', 'throw', 'relieve_oneself', 'wee-wee', 'progress_to', 'construct', 'ready', 'nominate', 'shit', 'fashioning', 'name', 'wee', 'cause', 'do', 'spend_a_penny', 'hold', 'attain', 'pretend', 'crap', 'puddle', 'have', 'take_a_leak', 'take_a_shit', 'devising', 'take_a_crap', 'pass_water', 'establish', 'give', 'work', 'get_to', 'make_water', 'score', 'induce', 'take_in', 'realise', 'lay_down', 'make_believe', 'pull_in', 'ca-ca', 'gain', 'piss', 'earn', 'arrive_at', 'defecate', 'create', 'pee-pee', 'build', 'bring_in', 'make_up', 'seduce', 'take', 'draw', 'cook', 'prepare', 'fix', 'clear', 'make', 'pee', 'get', 'qualification', 'produce', 'form', 'hit', 'micturate']"
detail,27,"['detail', 'contingent', 'point', 'item', 'particular']"
unfollowers,27,['unfollowers']
iheartawards,27,['iheartawards']
read,26,"['read', 'interpret', 'scan', 'register', 'learn', 'show', 'take', 'understand', 'study', 'record', 'say', 'translate']"
getting,26,"['getting', 'stick', 'perplex', 'start_out', 'bring_forth', 'generate', 'dumbfound', 'capture', 'induce', 'buzz_off', 'mother', 'stupefy', 'catch', 'fix', 'get_down', 'let', 'drive', 'set_about', 'have', 'bewilder', 'engender', 'obtain', 'start', 'begin\', ""get_under_one\'s_skin"", \'pay_back', 'nonplus', 'acquiring', 'make', 'go', 'convey', 'beget', 'mystify', 'arrest', 'aim', 'arrive', 'bugger_off', 'fetch', 'take', 'incur', 'find', 'father', 'suffer', 'grow', 'get', 'commence', 'beat', 'scram', 'receive', 'vex', 'sire', 'stimulate', 'produce', 'sustain', 'pay_off', 'pose', 'set_out', 'contract', 'baffle', 'fuck_off', 'acquire', 'flummox', 'come', 'draw', 'experience', 'amaze', 'bring', 'become', 'develop', 'puzzle', 'cause', 'gravel']"
question,26,"['question', 'enquiry', 'doubtfulness', 'call_into_question', 'dubiousness', 'interview', 'query', 'oppugn', 'interrogative', 'head', 'interrogation', 'interrogative_sentence', 'wonder', 'doubt', 'inquiry', 'interrogate', 'motion']"
federal,26,"['federal', 'Federal_soldier', 'federal_official', 'Union_soldier', 'Federal', 'Union', 'Fed']"
nation,26,"['nation', 'Nation', 'Carry_Amelia_Moore_Nation', 'country', 'commonwealth', 'state', 'res_publica', 'body_politic', 'land', 'Carry_Nation']"
history,26,"['history', 'story', 'chronicle', 'account']"
washington,26,"['washington', 'Evergreen_State', 'capital_of_the_United_States', 'Capital', 'Booker_T._Washington', 'American_capital', 'Booker_Taliaferro_Washington', 'Washington', 'President_Washington', 'Washington_D.C.', 'George_Washington', 'WA']"
TwentyTwenty,26,"['TwentyTwenty', 'politics', 'America', '2020', 'year', 'elections', 'senate']"
chuckcallesto,26,['chuckcallesto']
oann,26,['oann']
bestcoversong,26,['bestcoversong']
hotel,25,"['hotel', 'house', 'accomodation', 'hostel', 'room']"
truth,25,"['truth', 'the_true', 'accuracy', 'true_statement', 'Sojourner_Truth', 'trueness', 'Truth', 'verity']"
another,25,"['another', 'else', 'some_other']"
always,25,"['always', 'incessantly\', ""e\'er"", \'always', 'invariably', 'ever', 'perpetually', 'forever', 'constantly']"
post,25,"['post', 'office', 'send', 'C._W._Post', 'Charles_William_Post', 'place', 'Emily_Price_Post', 'spot', 'stake', 'military_post', 'carry', 'station', 'brand', 'Wiley_Post', 'position', 'put_up', 'Emily_Post', 'situation', 'Post', 'mail', 'mail_service', 'postal_service', 'berth', 'billet']"
vaccine,24,"['vaccine', 'patient', 'distan', 'strain', 'body', 'outbreak', 'incubation', 'vaccinum', 'anti', 'spread', 'epidemic', 'n95', 'underlying', 'anti-body', 'herd', 'covid19', '19', 'covid', 'immunity', 'coronavirus', 'isolation', 'presymptomatic', 'mask', 'vaccin', 'quarantine', 'asymptomatic', 'pathogen', 'ventilator', 'condition', 'novel']"
black,24,"['black', 'mordant', 'pitch_blackness', 'dim', 'bootleg', 'ignominious', 'opprobrious', 'melanise', 'fateful', 'blackness', 'black-market', 'pitch-dark', 'Negro', 'Black_person', 'lightlessness', 'inkiness', 'pitch-black', 'blackamoor', 'dark', 'contraband', 'sinister', 'blackened', 'blacken', 'disgraceful', 'Shirley_Temple_Black', 'total_darkness', 'Black', 'melanize', 'grim', 'fatal', 'nigrify', 'smutty', 'Shirley_Temple', 'Joseph_Black', 'calamitous', 'shameful', 'bleak', 'inglorious', 'Negroid', 'smuggled', 'disastrous']"
instead,24,"['instead', 'alternatively', 'rather', 'or_else']"
sent,24,"['sent', 'direct', 'get_off', 'station', 'ship', 'place', 'post', 'commit', 'transport', 'beam', 'send_off', 'air', 'broadcast', 'send', 'send_out', 'mail', 'transmit', 'institutionalise', 'institutionalize', 'charge']"
retweet,24,"['retweet', 'resay', 'remention']"
united,24,"['united', 'merge', 'unify', 'joined', 'link', 'join', 'connect', 'link_up', 'unite', 'combine']"
part,24,"['part', 'start_out', 'depart', 'theatrical_role', 'constituent', 'section', 'start', 'division', 'split', 'voice', 'contribution', 'function', 'share', 'disunite', 'separate', 'take_off', 'portion', 'role', 'set_forth', 'set_out', 'partially', 'split_up', 'set_off', 'break_up', 'persona', 'partly', 'character', 'piece', 'parting', 'break', 'component_part', 'component', 'region', 'office', 'percentage', 'divide']"
pandemic,24,"['pandemic', 'covid', 'pathogen', 'anti', 'spread', 'patient', 'strain', 'body', 'coronavirus', 'vaccin', '19', 'n95', 'presymptomatic', 'anti-body', 'asymptomatic', 'distan', 'incubation', 'herd', 'outbreak', 'immunity', 'ventilator', 'underlying', 'covid19', 'condition', 'quarantine', 'novel', 'isolation', 'epidemic', 'mask']"
mammaraffy,24,['mammaraffy']
maybe,23,"['maybe', 'peradventure', 'mayhap', 'possibly', 'perchance', 'perhaps']"
since,23,['since']
protect,23,"['protect', 'defend', 'take_care_of', 'save']"
matter,23,"['matter', 'subject', 'weigh', 'thing', 'count', 'issue', 'affair', 'topic']"
attack,23,"['attack', 'attempt', 'plan_of_attack', 'onset', 'snipe', 'aggress', 'assail', 'round', 'blast', 'flak', 'tone-beginning', 'set_on', 'approach', 'lash_out', 'flack', 'assault', 'fire', 'onrush', 'onslaught']"
TwentyNinteen,23,"['TwentyNinteen', ""pandemic' 'black_year"", 'outbrake', 'senate', 'elections', 'covid', '2019']"
mitch,23,['mitch']
home,23,"['home', 'internal', 'interior', 'domicile', 'family', 'menage', 'dwelling', 'household', 'national', 'nursing_home', 'home_base', 'plate', 'base', 'house', 'abode', 'habitation', 'home_plate', 'dwelling_house', 'place', 'rest_home']"
mail,23,"['mail', 'send', 'chain_armor', 'ring_armour', 'postal_service', 'get_off', 'chain_armour', 'post', 'ring_mail', 'chain_mail', 'mail_service', 'ring_armor']"
michaeljohns,23,['michaeljohns']
gave,23,"['gave', 'kick_in', 'impart', 'reach', 'yield', 'leave', 'present', 'contribute', 'afford', 'gift', 'make', 'fall_in', 'ease_up', 'hold', 'pay', 'turn_over', 'open', 'establish', 'pass', 'devote', 'break', 'have', 'collapse', 'founder', 'grant', 'commit', 'cave_in', 'apply', 'dedicate', 'move_over', 'chip_in', 'give_way', 'feed', 'pass_on', 'consecrate', 'return', 'sacrifice', 'generate', 'render', 'hand', 'give', 'throw']"
issue,23,"['issue', 'emerge', 'emergence', 'yield', 'matter', 'military_issue', 'go_forth', 'publication', 'topic', 'make_out', 'progeny', 'bring_out', 'result', 'takings', 'take', 'subject', 'consequence', 'write_out', 'government_issue', 'issuing', 'event', 'publish', 'payoff', 'way_out', 'outcome', 'proceeds', 'number', 'come_out', 'release', 'outlet', 'upshot', 'supply', 'issuance', 'offspring', 'put_out', 'return', 'come_forth', 'egress', 'effect', 'cut', 'exit']"
little,23,"['little', 'minuscule', 'short', 'small', 'petty', 'niggling', 'piddling', 'footling', 'picayune', 'piffling', 'trivial', 'fiddling', 'lilliputian', 'slight']"
around,22,"['around', 'round', 'approximately', 'about', 'close_to', 'roughly', 'more_or_less', 'just_about', 'or_so', 'some']"
working,22,"['working', 'influence', 'work_on', 'ferment', 'act', 'lick', 'running', 'operative', 'exploit', 'on_the_job', 'mould', 'knead', 'make', 'functional', 'cultivate', 'turn', 'wreak', 'figure_out', 'form', 'solve', 'put_to_work', 'make_for', 'workings', 'work', 'puzzle_out', 'sour', 'act_upon', 'crop', 'play', 'do_work', 'mold', 'bring', 'function', 'process', 'forge', 'shape', 'exercise', 'operate', 'run', 'work_out', 'go']"
traitor,22,"['traitor', 'treasonist', 'america', 'president', 'politics', 'trump', 'double-dealer', 'double-crosser', 'betrayer', 'two-timer']"
illegal,22,"['illegal', 'avoided', 'not_permitted', 'forbidden']"
release,22,"['release', 'relinquish', 'sack', 'secrete', 'acquittance', 'spillage', 'dismissal', 'loss', 'expel', 'liberate', 'dismission', 'handout', 'give_up', 'loose', 'resign', 'let_go_of', 'vent', 'spill', 'press_release', 'turn', 'let_go', 'unloosen', 'exhaust', 'sacking', 'unloose', 'liberation', 'going', 'firing', 'exit', 'eject', 'publish', 'issue', 'bring_out', 'put_out', 'free', 'freeing', 'tone_ending', 'waiver', 'outlet', 'unblock', 'button', 'departure', 'expiration', 'passing', 'unfreeze', 'discharge']"
government,22,"['government', 'governance', 'authorities', 'government_activity', 'governing', 'political_science', 'regime', 'administration', 'politics']"
worst,22,"['worst', 'whip', 'sorry', 'unfit', 'unsound', 'spoiled', 'spoilt', 'speculative', 'high-risk', 'rack_up', 'pip', 'forged', 'uncollectible', 'regretful', 'big', 'risky', 'bad', 'tough', 'defective', 'mop_up']"
talk,22,"['talk', 'let_the_cat_out_of_the_bag', 'spill_the_beans', 'talk_of_the_town', 'utter', 'tattle', 'blab', 'spill', 'sing', 'speak', 'lecture', 'peach', 'babble', 'verbalize', 'mouth', 'talking', 'blab_out', 'public_lecture', 'verbalise', 'babble_out']"
happy,22,"['happy', 'felicitous', 'well-chosen', 'glad']"
true,22,"['true', 'honest', 'avowedly', 'true_up', 'lawful', 'truthful', 'on-key', 'rightful', 'unfeigned', 'admittedly', 'dead_on_target', 'dependable', 'genuine', 'straight', 'reliable', 'confessedly']"
official,22,"['official', 'functionary', 'prescribed']"
reality,22,"['reality', 'realness', 'world', 'realism']"
occurred,22,"['occurred', 'come', 'fall_out', 'come_about', 'hap', 'go_on', 'pass_off', 'occur', 'happen', 'pass', 'take_place']"
stay,22,"['stay', 'appease', 'last_out', 'detain', 'stay_on', 'continue', 'check', 'rest', 'arrest', 'stoppage', 'abide', 'stick_around', 'halt', 'persist', 'ride_out', 'stick', 'hitch', 'bide', 'quell', 'outride', 'remain', 'stop', 'delay', 'stay_put']"
leave,22,"['leave', 'leave_of_absence', 'forget', 'pull_up_stakes', 'leave-taking', 'lead', 'get_out', 'allow_for', 'leave_behind', 'depart', 'entrust', 'give', 'parting', 'pass_on', 'farewell', 'leave_alone', 'impart', 'go_away', 'exit', 'provide', 'will', 'result', 'allow', 'go_forth', 'go_out', 'bequeath']"
miss,22,"['miss', 'senate', 'escape', 'leader', 'sexism', 'misogyny', 'neglect', 'girl', 'misfire', 'history', 'young_woman', 'congress', 'lack', 'young_lady', 'pretermit', 'patriarchy', 'catherine', 'elizabeth', 'overleap', 'victim', 'halaand', 'girl', 'cortez', 'levine', 'kamala', 'power', 'revolution', 'fille', 'clinton', 'women', 'empower', 'lose', 'Miss', 'missy', 'equal', 'drop', 'benevolent', 'leave_out', 'rachel', 'harris', 'inferiority', 'sex', 'hostile', 'hilary', 'misandry', 'right', 'gender', 'omit', 'deb', 'femin', 'overlook', 'feminist']"
jetzt,22,['jetzt']
called,21,"['called', 'anticipate', 'call_in', 'predict', 'forebode', 'yell', 'visit', 'shout', 'squall', 'bid', 'call_off', 'telephone', 'prognosticate', 'hollo', 'cry', 'ring', 'name', 'promise', 'call_up', 'foretell', 'holler', 'shout_out', 'phone', 'address', 'call', 'send_for', 'scream']"
policy,21,"['policy', 'insurance', 'insurance_policy']"
realmattcouch,21,['realmattcouch']
destroy,21,"['destroy', 'destruct', 'ruin', 'put_down', 'demolish']"
without,21,['without']
morning,21,"['morning', 'aurora', 'morning_time', 'sunup', 'break_of_day', 'morn', 'dayspring', 'good_morning', 'forenoon', 'daybreak', 'sunrise', 'break_of_the_day', 'dawn', 'cockcrow', 'dawning', 'first_light']"
account,21,"['account', 'news_report', 'answer_for', 'report', 'bill', 'history', 'chronicle', 'story', 'business_relationship', 'explanation', 'invoice', 'accounting', 'describe', 'score', 'write_up', 'calculate', 'account_statement']"
lord,21,"['lord', 'noble', 'Godhead', 'Jehovah', 'Almighty', 'Creator', 'Maker', 'Divine', 'overlord', 'God_Almighty', 'nobleman', 'master', 'Lord']"
social,21,"['social', 'mixer', 'sociable', 'societal']"
followed,21,"['followed', 'succeed', 'adopt', 'pursue', 'watch_over', 'play_along', 'survey', 'come', 'watch', 'take_after', 'follow', 'keep_up', 'surveil', 'comply', 'observe', 'conform_to', 'espouse', 'travel_along', 'abide_by', 'be', 'postdate', 'stick_to', 'trace', 'stick_with', 'accompany', 'keep_abreast', 'come_after', 'fall_out', 'keep_an_eye_on']"
school,21,"['school', 'schoolhouse', 'schooltime', 'shoal', 'educate', 'civilize', 'train', 'schooling', 'cultivate', 'school_day', 'civilise']"
join,21,"['join', 'junction', 'juncture', 'conjoin', 'connect', 'bring_together', 'joint', 'articulation', 'link', 'link_up', 'unite', 'get_together', 'sum', 'fall_in', 'union']"
military,21,"['military', 'armed_services', 'war_machine', 'military_machine', 'armed_forces']"
hell,21,"['hell', 'snake_pit', 'inferno', 'netherworld', 'sin', 'underworld', 'the_pits', 'Hades', 'Hell', 'hellhole', 'pit', 'Inferno', 'blaze', 'nether_region', 'infernal_region', 'perdition', 'Scheol', 'hell_on_earth']"
texas,21,"['texas', 'Texas', 'TX', 'Lone-Star_State']"
gonna,21,"['gonna', 'will', 'future', 'going_to']"
earthquake,21,"['earthquake', 'quake', 'seism', 'temblor']"
gained,20,"['gained', 'realize', 'gather', 'make_headway', 'get_ahead', 'gain', 'clear', 'derive', 'pull_in', 'profit', 'put_on', 'bring_in', 'advance', 'earn', 'reach', 'take_in', 'gain_ground', 'attain', 'win', 'hit', 'make', 'arrive_at', 'pull_ahead', 'benefit', 'acquire', 'realise']"
racist,20,"['racist', 'antiblack', 'racialist', 'anti-Semite']"
supporter,20,"['supporter', 'jock', 'jockstrap', 'admirer', 'assistant', 'sponsor', 'helper', 'help', 'friend', 'booster', 'suspensor', 'patron', 'protagonist', 'athletic_supporter', 'champion', 'garter']"
company,20,"['company', 'society', 'troupe', 'keep_company', 'party', 'fellowship', 'companionship', 'companion', '{""ship\'s_company"", \'caller', 'accompany']"
union,20,"['union', 'unification', 'coupling', 'wedlock', 'sexual_union', 'trade_union', 'matrimony', 'Federal', 'conjugation', 'Union', 'North', 'conglutination', 'join', 'sum', 'labor_union', 'jointure', 'pairing', 'trades_union', 'marriage', 'mating', 'spousal_relationship', 'brotherhood', 'uniting']"
former,20,"['former', 'sometime', 'late', 'onetime', 'old', 'quondam', 'one-time', 'early', 'previous', 'erstwhile', 'other']"
used,20,"['used', 'girl', 'sex', 'power', 'femin', 'hostile', 'hilary', 'use', 'victimised', 'congress', 'revolution', 'victim', 'apply', 'victimized', 'clinton', 'employ', 'levine', 'halaand', 'inferiority', 'rachel', 'utilise', 'right', 'expend', 'history', 'women', 'cortez', 'sexism', 'misogyny', 'secondhand', 'ill-used', 'elizabeth', 'utilize', 'benevolent', 'habituate', 'practice', 'deb', 'put-upon', 'exploited', 'leader', 'equal', 'senate', 'kamala', 'empower', 'feminist', 'harris', 'catherine', 'misandry', 'gender', 'patriarchy']"
asked,20,"['asked', 'take', 'need', 'inquire', 'demand', 'necessitate', 'enquire', 'call_for', 'ask', 'postulate', 'involve', 'expect', 'require']"
trying,20,"['trying', 'taste', 'nerve-wracking', 'attempt', 'prove', 'essay', 'seek', 'strain', 'stress', 'try_on', 'render', 'stressful', 'hear', 'sample', 'judge', 'adjudicate', 'examine', 'nerve-racking', 'try_out', 'assay', 'try', 'test']"
live,20,"['live', 'go', 'inhabit', 'hold_out', 'bouncy', 'endure', 'exist', 'springy', 'live_on', 'know', 'survive', 'be', 'unrecorded', 'hold_up', 'hot', 'lively', 'dwell', 'subsist', 'resilient', 'alive', 'populate', 'experience', 'last']"
conservative,20,"['conservative', 'bourgeois', 'conservativist', 'cautious', 'materialistic', 'Conservative', 'button-down', 'buttoned-down']"
talking,20,"['talking', 'spill_the_beans', 'speak', 'babble', 'peach', 'utter', 'mouth', 'verbalise', 'blab', 'lecture', 'babble_out', 'spill', 'let_the_cat_out_of_the_bag', 'verbalize', 'tattle', 'talk', 'blab_out', 'sing']"
maga,20,['maga']
building,20,"['building', 'establish', 'progress', 'build_up', 'make', 'build', 'edifice', 'work_up', 'ramp_up', 'construct', 'construction']"
iammultiversal,20,['iammultiversal']
